date,adj close
4/18/19,130.850845
4/22/19,130.090134
4/23/19,131.749863
4/24/19,133.468857
4/25/19,135.583023
4/26/19,138.230667
4/29/19,137.618149
4/30/19,135.316269
5/1/19,134.733398
5/2/19,132.520447
5/3/19,132.708145
5/6/19,133.370056
5/7/19,131.828903
5/8/19,133.360184
5/9/19,131.977081
5/10/19,132.421646
5/13/19,129.754242
5/14/19,131.591782
5/15/19,133.053925
5/16/19,133.864029
5/17/19,133.409561
5/20/19,132.293213
5/21/19,132.471039
5/22/19,132.233948
5/23/19,131.127457
5/24/19,131.186722
5/28/19,131.018799
5/29/19,129.981491
5/30/19,130.603867
5/31/19,130.445786
6/3/19,130.870605
6/4/19,133.19223
6/5/19,134.298706
6/6/19,135.553375
6/7/19,136.373337
6/10/19,135.41507
6/11/19,133.449097
6/12/19,134.081375
6/13/19,140.028687
6/14/19,139.939758
6/17/19,139.26799
6/18/19,137.558868
6/19/19,139.218582
6/20/19,140.305313
6/21/19,138.536911
6/24/19,137.539108
6/25/19,138.250427
6/26/19,138.704849
6/27/19,137.618149
6/28/19,137.954041
7/1/19,139.939758
7/2/19,140.809143
7/3/19,141.253708
7/5/19,141.601624
7/8/19,140.180145
7/9/19,140.766632
7/10/19,142.685135
7/11/19,142.705017
7/12/19,144.017166
7/15/19,144.196075
7/16/19,143.440613
7/17/19,141.720917
7/18/19,140.786514
7/19/19,139.01712
7/22/19,140.001205
7/23/19,140.418716
7/24/19,140.448532
7/25/19,142.357101
7/26/19,143.788513
7/29/19,145.518158
7/30/19,144.066849
7/31/19,142.158295
8/1/19,141.005203
8/2/19,140.866043
8/5/19,137.476349
8/6/19,141.02507
8/7/19,134.056839
8/8/19,137.068787
8/9/19,137.695038
8/12/19,134.941528
8/13/19,136.194016
8/14/19,132.058807
8/15/19,132.615463
8/16/19,134.394806
8/19/19,134.484268
8/20/19,134.325226
8/21/19,134.951462
8/22/19,135.269562
8/23/19,130.885834
8/26/19,133.808319
8/27/19,133.689041
8/28/19,135.736771
8/29/19,137.019073
8/30/19,136.442535
9/3/19,135.498199
9/4/19,137.068787
9/5/19,138.013123
9/6/19,138.718903
9/9/19,138.003189
9/10/19,134.981293
9/11/19,135.378906
9/12/19,136.681107
9/13/19,137.198013
9/16/19,134.991241
9/17/19,135.498199
9/18/19,135.985275
9/19/19,132.506119
9/20/19,131.482254
9/23/19,131.671127
9/24/19,131.184036
9/25/19,132.297363
9/26/19,130.48822
9/27/19,129.18602
9/30/19,129.543869
10/1/19,128.778458
10/2/19,128.370895
10/3/19,127.386787
10/4/19,129.494171
10/7/19,130.120407
10/8/19,127.704887
10/9/19,128.559769
10/10/19,128.569702
10/11/19,129.245667
10/14/19,128.927551
10/15/19,128.987198
10/16/19,130.080658
10/17/19,131.58165
10/18/19,130.110474
10/21/19,129.484222
10/22/19,131.611481
10/23/19,130.349045
10/24/19,129.484222
10/25/19,130.120407
10/28/19,129.752625
10/29/19,128.708862
10/30/19,128.828171
10/31/19,129.146255
11/1/19,131.959396
11/4/19,132.128387
11/5/19,130.66713
11/6/19,130.48822
11/7/19,132.168152
11/8/19,137.138382
11/11/19,135.925644
11/12/19,137.754684
11/13/19,147.83429
11/14/19,146.273636
11/15/19,143.808411
11/18/19,146.77066
11/19/19,147.496323
11/20/19,146.054947
11/21/19,146.025116
11/22/19,147.406845
11/25/19,148.798508
11/26/19,150.736893
11/27/19,150.57785
11/29/19,150.677261
12/2/19,149.722961
12/3/19,147.695129
12/4/19,147.396912
12/5/19,146.561905
12/6/19,146.780609
12/9/19,145.339249
12/10/19,145.229889
12/11/19,146.711014
12/12/19,146.880005
12/13/19,146.380005
12/16/19,148.460007
12/17/19,147.729996
12/18/19,146.259995
12/19/19,146.149994
12/20/19,146.880005
12/23/19,144.679993
12/24/19,145.289993
12/26/19,145.699997
12/27/19,145.75
12/30/19,143.770004
12/31/19,144.630005
1/2/20,148.199997
1/3/20,146.5
1/6/20,145.649994
1/7/20,145.699997
1/8/20,145.399994
1/9/20,144.830002
1/10/20,144.619995
1/13/20,143.880005
1/14/20,145.199997
1/15/20,144.320007
1/16/20,145.119995
1/17/20,144.330002
1/21/20,143.559998
1/22/20,144.009995
1/23/20,142.199997
1/24/20,140.080002
1/27/20,135.899994
1/28/20,138.369995
1/29/20,136.059998
1/30/20,137.809998
1/31/20,138.309998
2/3/20,141.320007
2/4/20,144.729996
2/5/20,141.369995
2/6/20,142.699997
2/7/20,141.020004
2/10/20,142.589996
2/11/20,141.009995
2/12/20,141.850006
2/13/20,140.899994
2/14/20,139.539993
2/18/20,139.139999
2/19/20,141.300003
2/20/20,140.369995
2/21/20,138.970001
2/24/20,133.009995
2/25/20,128.190002
2/26/20,123.360001
2/27/20,118.040001
2/28/20,117.650002
3/2/20,119.980003
3/3/20,116.449997
3/4/20,119.18
3/5/20,113.980003
3/6/20,115.269997
3/9/20,104.349998
3/10/20,111.459999
3/11/20,105.510002
3/12/20,91.809998
3/13/20,102.519997
3/16/20,95.010002
3/17/20,93.529999
3/18/20,88.800003
3/19/20,94.93
3/20/20,85.980003
3/23/20,85.760002
3/24/20,98.120003
3/25/20,100.730003
3/26/20,105.360001
3/27/20,96.400002
3/30/20,99.800003
3/31/20,96.599998
4/1/20,94.919998
4/2/20,96.970001
4/3/20,93.879997
4/6/20,99.580002
4/7/20,101.239998
4/8/20,101.07
4/9/20,104.5
4/13/20,103.5
4/14/20,106.029999
4/15/20,103.370003
4/16/20,102.019997
4/17/20,106.629997
4/20/20,102.260002
4/21/20,100.540001
4/22/20,100.989998
4/23/20,101
4/24/20,101.190002
4/27/20,106.059998
4/28/20,106.209999
4/29/20,112.25
4/30/20,108.150002
5/1/20,105.5
5/4/20,103.18
5/5/20,101.059998
5/6/20,100.879997
5/7/20,105.57
5/8/20,109.160004
5/11/20,107.769997
5/12/20,104.559998
5/13/20,102.919998
5/14/20,105.910004
5/15/20,109.050003
5/18/20,116.849998
5/19/20,114.370003
5/20/20,119.919998
5/21/20,117.830002
5/22/20,118.019997
5/26/20,120.949997
5/27/20,121.529999
5/28/20,116.75
5/29/20,117.300003
6/1/20,118.769997
6/2/20,118.75
6/3/20,122.18
6/4/20,123.690002
6/5/20,124.82
6/8/20,127.279999
6/9/20,123.889999
6/10/20,122.18
6/11/20,112.639999
6/12/20,115.489998
6/15/20,117.080002
6/16/20,118.440002
6/17/20,117.650002
6/18/20,118.370003
6/19/20,114.349998
6/22/20,115.919998
6/23/20,116.589996
6/24/20,112.07
6/25/20,111.360001
6/26/20,109.099998
6/29/20,111.519997
6/30/20,111.510002
7/1/20,113.010002
7/2/20,112.18
7/6/20,114.43
7/7/20,113.629997
7/8/20,116.660004
7/9/20,116.809998
7/10/20,119.339996
7/13/20,116.220001
7/14/20,118.660004
7/15/20,120.900002
7/16/20,119.43
7/17/20,118.650002
7/20/20,117.790001
7/21/20,118.620003
7/22/20,119.029999
7/23/20,118.120003
7/24/20,117.610001
